movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,combined_info
the house with a clock in its walls,Fantasy Family Comedy,Eli Roth,Jack Black,Cate Blanchett,Owen Vaccaro,Eli Roth Jack Black Cate Blanchett Owen Vaccaro Fantasy Family Comedy
life itself,Drama Romance,Dan Fogelman,Oscar Isaac,Olivia Wilde,Mandy Patinkin,Dan Fogelman Oscar Isaac Olivia Wilde Mandy Patinkin Drama Romance
the sisters brothers,Western Drama Adventure,Jacques Audiard,John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal,Jacques Audiard John C. Reilly Joaquin Phoenix Jake Gyllenhaal Western Drama Adventure
assassination nation,Thriller Comedy Horror,Sam Levinson,Odessa Young,Suki Waterhouse,Hari Nef,Sam Levinson Odessa Young Suki Waterhouse Hari Nef Thriller Comedy Horror
colette,Drama History,Wash Westmoreland,Keira Knightley,Dominic West,None,Wash Westmoreland Keira Knightley Dominic West None Drama History
fahrenheit 11/9,Documentary,Michael Moore,None,None,None,Michael Moore None None None Documentary
my son,Crime Drama Thriller,Christian Carion,Guillaume Canet,Melanie Laurent,None,Christian Carion Guillaume Canet Melanie Laurent None Crime Drama Thriller
"love, gilda",Documentary,Lisa Dapolito,Gilda Radner,None,None,Lisa Dapolito Gilda Radner None None Documentary
my hero academia: two heroes,Animation Action Adventure Fantasy,Kenji Nagasaki,Justin Briner,Christopher R. Sabat,Clifford Chapin,Kenji Nagasaki Justin Briner Christopher R. Sabat Clifford Chapin Animation Action Adventure Fantasy
smallfoot,Family Animation Adventure Fantasy,Karey Kirkpatrick,Channing Tatum,James Corden,Zendaya,Karey Kirkpatrick Channing Tatum James Corden Zendaya Family Animation Adventure Fantasy
night school,Comedy,Malcolm D. Lee,Kevin Hart,Tiffany Haddish,Rob Riggle,Malcolm D. Lee Kevin Hart Tiffany Haddish Rob Riggle Comedy
the old man & the gun,Comedy Crime Drama,David Lowery,Robert Redford,Casey Affleck,Danny Glover,David Lowery Robert Redford Casey Affleck Danny Glover Comedy Crime Drama
hell fest,Horror,Gregory Plotkin,Bex Taylor-Klaus,Amy Forsyth,Reign Edwards,Gregory Plotkin Bex Taylor-Klaus Amy Forsyth Reign Edwards Horror
venom,Science Fiction Action,Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed,Ruben Fleischer Tom Hardy Michelle Williams Riz Ahmed Science Fiction Action
a star is born,Drama Romance Music,Bradley Cooper,Bradley Cooper,Lady Gaga,Sam Elliott,Bradley Cooper Bradley Cooper Lady Gaga Sam Elliott Drama Romance Music
the hate u give,Crime Drama,George Tillman Jr.,Amandla Stenberg,Regina Hall,Russell Hornsby,George Tillman Jr. Amandla Stenberg Regina Hall Russell Hornsby Crime Drama
the happy prince,Drama,Rupert Everett,Rupert Everett,Colin Firth,Colin Morgan,Rupert Everett Rupert Everett Colin Firth Colin Morgan Drama
first man,History Drama,Damien Chazelle,Ryan Gosling,Claire Foy,Jason Clarke,Damien Chazelle Ryan Gosling Claire Foy Jason Clarke History Drama
bad times at the el royale,Thriller Drama Mystery Crime,Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Drew Goddard Jeff Bridges Cynthia Erivo Dakota Johnson Thriller Drama Mystery Crime
goosebumps 2: haunted halloween,Adventure Comedy Fantasy Family Horror,Ari Sandel,Wendi McLendon-Covey,Madison Iseman,Jeremy Ray Taylor,Ari Sandel Wendi McLendon-Covey Madison Iseman Jeremy Ray Taylor Adventure Comedy Fantasy Family Horror
beautiful boy,Drama,Felix van Groeningen,Steve Carell,Timothée Chalamet,Maura Tierney,Felix van Groeningen Steve Carell Timothée Chalamet Maura Tierney Drama
